method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,8.408740000000001e-23,5.0,5,1.0,3.386438317880801e-11,1.539700641007114e-21,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.1406876271612418e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,5.48683e-23,5.0,5,1.0,2.682501848359618e-11,1.037564028915211e-21,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.787281433962562e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,4.3162700000000004e-23,5.0,5,1.0,2.2950338082905292e-11,6.7957550518530045e-22,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.6935342017632138e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.78151e-23,5.0,5,1.0,1.842351093572629e-11,4.7835577285385e-22,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.2402967541902399e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.70083e-23,5.0,5,1.0,1.523040591628376e-11,3.114385016317084e-22,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-9.627632024944432e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.1098e-23,5.0,5,1.0,1.206437579820411e-11,2.098649597252878e-22,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-8.038458787495983e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,8.73043e-24,5.0,5,1.0,1.0321833050242817e-11,1.3746024667013332e-22,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-7.616351993533499e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,5.6261200000000006e-24,5.0,5,1.0,8.285933936857993e-12,9.675594035699483e-23,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-5.5784266095315616e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.44014e-24,5.0,5,1.0,6.849899759126757e-12,6.299558464582761e-23,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.3300918406430355e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.2447400000000003e-24,5.0,5,1.0,5.42598329462521e-12,4.2450396102996144e-23,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.6153302573893598e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.7658600000000003e-24,5.0,5,1.0,4.642276785810864e-12,2.7804621324348476e-23,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.425482120178458e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.13798e-24,5.0,5,1.0,3.726657984780819e-12,1.9571911130651243e-23,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.5088819910479288e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.95829e-25,5.0,5,1.0,3.0806792617895392e-12,1.2742203698413752e-23,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.9473311851925246e-12, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
